competencia;reg_ans;cnpj;cd_conta_contabil;vl_saldo_final;descricao;vl_saldo_inicial;vl_debitos;vl_creditos;moeda;status_fechamento;tipo_envio;versao_envio;dt_envio;sistema_origem;responsavel_nome;responsavel_email;qt_beneficiarios;qt_prestadores;modalidade;porte;observacoes
2026-01;123456;12345678000190;311;1200000.00;CONTRAPRESTACOES;;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;332129111;50000.00;OUTRAS RECEITAS OPERACIONAIS;;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;32;30000.00;TRIBUTOS DIRETOS / PROVISOES TECNICAS (CONFORME PLANO);;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;61;15000.00;IMPOSTOS;;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;46;180000.00;DESPESAS ADMINISTRATIVAS;;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;464;20000.00;RECLASSIFICACAO (PROMOCOES/COMERCIAL);;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;43;40000.00;DESPESAS COMERCIAIS;;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;41;600000.00;EVENTOS LIQUIDOS;;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;442129119;10000.00;COMPONENTE ASSISTENCIAL (MODO UNIODONTO);;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;12;800000.00;ATIVO CIRCULANTE;;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;21;500000.00;PASSIVO CIRCULANTE;;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;1213;100000.00;CAIXA;;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;1214;50000.00;BANCOS;;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;122;20000.00;APLICACOES DE LIQUIDEZ IMEDIATA;;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;237;-60000.00;EMPRESTIMOS E PARCELAMENTOS;;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;Valores podem vir negativos conforme ERP
2026-01;123456;12345678000190;217;-10000.00;EMPRESTIMOS E PARCELAMENTOS;;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
2026-01;123456;12345678000190;216;5000.00;PROVISOES TRIBUTARIAS/CIVEIS/TRABALHISTAS;;;;BRL;FECHADO;NORMAL;1;2026-02-05T18:22:10Z;ERP-EXEMPLO;Maria Silva;maria@operadora.com.br;18234;542;Cooperativa odontologica;Medio Porte;
