nome_operadora,modalidade,uniodonto,qt_beneficiarios_periodo,qt_prestadores_periodo,ativa,porte,reg_ans,ano,trimestre,3_vr_receitas,4_vr_despesas,311_vr_contraprestacoes,3111_vr_contraprestacoes_efetivas,311121_vr_contraprestacoes_pre,3117_vr_corresponsabilidade_cedida,1231_vr_creditos_operacoes_saude,41_vr_eventos_liquidos,2111_vr_eventos_a_liquidar,43_vr_desp_comerciais,464119113_vr_desp_comerciais_promocoes,46_vr_desp_administrativas,44_vr_outras_desp_oper,47_vr_desp_tributos,35_vr_receitas_fin,36_vr_receitas_patrimoniais,45_vr_despesas_fin,33_vr_outras_receitas_operacionais,12_vr_ativo_circulante,13_vr_ativo_permanente,21_vr_passivo_circulante,23_vr_passivo_nao_circulante,25_vr_patrimonio_liquido,31_vr_ativos_garantidores,32_vr_provisoes_tecnicas,2521_vr_pl_ajustado,2522_vr_margem_solvencia_exigida,61_vr_conta_61
UNIODONTO REGIONAL COOPERATIVA ODONTOLOGICA,Cooperativa odontológica,SIM,172974,1391,SIM,,344451,2024,3,28583546.62,26634806.3,27043399.75,27043399.75,26599556.05,0,2702385.44,14776478.89,1357728.41,2178878.52,0,9127690.28,293057.63,0,370115.41,19273.07,258700.98,2058260.04,5888225.98,14368385.35,4112599.94,6058708.84,10085302.55,27043399.75,-830907.04,0,0,0
,,,,,,,334561,2024,4,836752562.9,823660875.92,778773794.61,797018632.07,0,-3495959.23,5768623.98,696269868.34,75427295.08,0,0,59369089.77,56979794.04,493250.5,21323748.4,5098487.57,10548873.27,42910839.22,232973073.59,249855274.02,180129335.49,148281866.95,154417145.17,776851651.26,-7090073.45,0,0,2057686.19
,,,,,,,351792,2024,4,129391288.76,129264234.21,113395218.18,114452535.24,0,-749855.05,1855618.21,90286675.23,10647869.01,305507.03,0,10119460.54,24466358.12,0,6397969.83,2163013.17,4086233.29,14207933.89,34424987.72,62379525.11,34677231.42,52158715.81,9968565.6,113395218.18,-5472943.89,0,0,787020.58
,,,,,,,402206,2025,1,7395264.47,6792878.12,5527670.63,5527670.63,0,0,36955.03,5299613.7,3200735.56,0,0,442624.14,1041018.11,0,550772.95,132884.55,9622.17,1183936.34,19479889.57,2640227.75,3630578.58,0,17887152.39,5527670.63,0,0,0,0
,,,,,,,362140,2025,1,69743294.26,74987870.86,65750525.16,71531584.91,0,-5781059.75,6802613.99,23619999.1,19019690.9,77690.66,0,5836728.72,43477334.79,0,1749363.88,0,1976117.59,4132253.82,29936082.82,107202230.39,36935643.69,67052643.92,33150025.6,65753156.26,-1891479.7,0,0,0
,,,,,,,344788,2025,1,5386250.95,3952891.86,5133220.2,5181938.84,0,-43009.65,739874.23,2827472.18,4116002.2,11653.4,0,651745.11,411002.44,0,459028.24,7034.75,51018.73,25126.77,8984384.7,12176810.86,5382586.18,2319850.91,12167367.95,5133220.2,-238159.01,0,0,141968.57
H.B. SAÚDE S/A.,Medicina de Grupo,NÃO,13913,,SIM,,350249,2025,2,149481158.25,180670509.47,157717739.65,164383783.08,168265.12,-6637861.68,6679296.76,155659028.21,101934864.07,3224012.64,0,16183031.67,1792762.36,1931174.99,6798127.21,5650924.13,188049.96,583811.79,10344214.62,711002482.58,106454175.16,7227809.75,731951995.09,138326271.27,-1877976.15,0,0,0
,,,,,,,311961,2025,2,64415771.33,7531407.05,57916767.29,67630751.22,0,0,52686216.91,62821078.86,221349803.68,0,0,10152267.26,1873935.87,0,316420.71,25920,466788.51,2627861.24,439936687.46,162364650.41,70248618.13,268321263.29,-368506106.72,58945635.81,0,0,0,0
,,,,,,,352543,2025,2,125445017.04,107088775.52,111998156.81,112139232.35,0,-141075.54,445445.59,76772104.52,25761692.69,1571736.55,0,13626150.23,14285361.42,80225.88,3175483.54,73900.29,753196.92,13176440.42,61402003.87,35481619.88,52805144.13,7818668.33,36259811.29,112020856.73,-2416402.58,0,0,4632532.03
,,,,,,,418692,2025,2,6432088.65,3466065.71,0,0,0,0,0,0,0,0,0,3313212.38,0,0,554101.46,0,152853.33,0,24074380.06,80426.09,783249.44,0,23371556.71,6938792.83,-1060805.64,0,0,0
